date,hour,temperature
2012-11-09,12,279.21
2012-11-09,13,279.21
2012-11-09,14,279.3
2012-11-09,15,279.42
2012-11-09,16,279.86
2012-11-09,17,280.06
2012-11-09,18,280.13
2012-11-09,19,280.21
2012-11-09,20,280.59
2012-11-09,21,280.66
2012-11-09,22,280.38
2012-11-09,23,279.2
2012-11-10,0,278.01
2012-11-10,1,278.11
2012-11-10,2,277.6
2012-11-10,3,277.53
2012-11-10,4,277.02
2012-11-10,5,277.07
2012-11-10,6,276.9
2012-11-10,7,276.54
2012-11-10,8,275.81
2012-11-10,9,275.67
2012-11-10,10,276.02
2012-11-10,11,275.78
2012-11-10,12,275.69
2012-11-10,13,275.91
2012-11-10,14,278.02
2012-11-10,15,280.16
2012-11-10,16,282.02
2012-11-10,17,283.78
2012-11-10,18,284.94
2012-11-10,19,285.08
2012-11-10,20,285.75
2012-11-10,21,285.68
2012-11-10,22,285.14
2012-11-10,23,284.64
2012-11-11,0,284.47
2012-11-11,1,284.67
2012-11-11,2,284.99
2012-11-11,3,285.13
2012-11-11,4,284.99
2012-11-11,5,284.77
2012-11-11,6,284.64
2012-11-11,7,284.8
2012-11-11,8,284.88
2012-11-11,9,284.79
2012-11-11,10,284.35
2012-11-11,11,284.75
2012-11-11,12,285.23
2012-11-11,13,285.54
2012-11-11,14,285.85
2012-11-11,15,286.9
2012-11-11,16,288.28
2012-11-11,17,289.9
2012-11-11,18,289.48
2012-11-11,19,288.91
2012-11-11,20,289.55
2012-11-11,21,291.34
2012-11-11,22,291.98
2012-11-11,23,292.03
2012-11-12,0,291.84
2012-11-12,1,291.77
2012-11-12,2,291.3
2012-11-12,3,290.79
2012-11-12,4,289.04
2012-11-12,5,287.29
2012-11-12,6,287.29
2012-11-12,7,285.89
2012-11-12,8,285.89
2012-11-12,9,285.89
2012-11-12,10,285.89
2012-11-12,11,285.89
2012-11-12,12,285.89
2012-11-12,13,285.37
2012-11-12,14,285.37
2012-11-12,15,285.37
2012-11-12,16,291.13
2012-11-12,17,291.98
2012-11-12,18,292.53
